user_id,gender,age,country,subscription_type,listening_time,songs_played_per_day,skip_rate,device_type,ads_listened_per_week,offline_listening,is_churned,age_group,Engagement_Score,Cluster
1,Female,54,CA,Free,26,23,0.2,desktop,31,0,1,50+,25.948,1
2,Other,33,DE,Family,141,62,0.34,web,0,1,0,25-34,140.5206,2
3,Male,38,AU,Premium,199,38,0.04,mobile,0,1,1,35-50,198.9204,2
4,Female,22,CA,Student,36,2,0.31,mobile,0,1,0,18-24,35.8884,1
5,Other,29,US,Family,250,57,0.36,mobile,0,1,1,25-34,249.1,0
6,Female,17,AU,Free,219,35,0.46,desktop,13,0,0,18-24,217.9926,0
7,Female,39,UK,Premium,289,44,0.38,desktop,0,1,0,35-50,287.9018,0
8,Female,41,UK,Free,210,68,0.11,mobile,5,0,0,35-50,209.769,0
9,Other,55,DE,Student,50,66,0.29,web,0,1,0,50+,49.855,1
10,Male,44,DE,Free,278,94,0.38,mobile,44,0,0,35-50,276.9436,0
11,Other,33,DE,Free,86,44,0.11,web,37,0,0,25-34,85.9054,1
12,Other,24,CA,Free,113,24,0.56,desktop,39,0,1,25-34,112.3672,2
13,Female,37,IN,Family,24,86,0.11,desktop,0,1,0,35-50,23.9736,1
14,Female,53,US,Premium,45,47,0.6,web,0,1,0,50+,44.73,1
15,Other,37,IN,Family,114,13,0.44,web,0,1,1,35-50,113.4984,2
16,Male,25,FR,Student,230,25,0.26,desktop,0,1,0,25-34,229.402,0
17,Female,36,DE,Student,181,93,0.23,mobile,0,1,0,35-50,180.5837,2
18,Male,58,US,Family,120,8,0.41,desktop,0,1,0,50+,119.508,2
19,Female,34,DE,Family,160,32,0.35,mobile,0,1,0,35-50,159.44,2
20,Male,35,UK,Student,281,51,0.35,desktop,0,1,0,35-50,280.0165,0
21,Female,33,AU,Student,138,60,0.6,web,0,1,0,25-34,137.172,2
22,Male,49,AU,Premium,20,7,0.45,desktop,0,1,0,35-50,19.91,1
23,Female,45,PK,Family,138,95,0.1,desktop,0,1,0,35-50,137.862,2
24,Male,44,CA,Family,134,97,0.42,web,0,1,0,35-50,133.4372,2
25,Other,32,CA,Premium,133,22,0.59,desktop,0,1,0,25-34,132.2153,2
26,Female,19,US,Student,39,29,0.53,desktop,0,1,0,18-24,38.7933,1
27,Male,28,IN,Free,293,67,0.33,mobile,23,0,1,25-34,292.0331,0
28,Other,58,FR,Free,15,55,0.3,mobile,35,0,0,50+,14.955,1
29,Male,33,FR,Free,123,13,0.22,desktop,7,0,0,25-34,122.7294,2
30,Female,22,FR,Premium,18,12,0.39,mobile,0,1,0,18-24,17.9298,1
31,Other,44,UK,Premium,149,45,0.22,web,0,1,0,35-50,148.6722,2
32,Male,53,US,Student,72,12,0.17,web,0,1,0,50+,71.8776,1
33,Female,49,IN,Premium,291,74,0.11,mobile,0,1,0,35-50,290.6799,0
34,Male,49,US,Family,147,52,0.43,web,0,1,0,35-50,146.3679,2
35,Female,55,FR,Premium,18,2,0.04,mobile,0,1,0,50+,17.9928,1
36,Other,24,DE,Free,59,53,0.18,web,28,0,1,25-34,58.8938,1
37,Male,22,DE,Student,280,99,0.29,desktop,0,1,0,18-24,279.188,0
38,Female,50,US,Family,117,98,0.04,mobile,0,1,0,50+,116.9532,2
39,Female,42,DE,Family,47,59,0.06,desktop,0,1,0,35-50,46.9718,1
